2026-09-08 19:37:26,083 | INFO | phipml.cli.train_test | Preparing the training cohort
2026-09-08 19:37:26,111 | INFO | phipml.classification.train_test_utils | Training prevalence filter: 84 -> 84 features
2026-09-08 19:37:26,111 | INFO | phipml.cli.train_test | Final training data: samples=160, features=84
2026-09-08 19:37:26,111 | INFO | phipml.classification.helpers | Peptide features: 80
2026-09-08 19:37:26,111 | INFO | phipml.classification.helpers | Additional features: ['Sex', 'Smoking', 'Age', 'BMI']
2026-09-08 19:37:26,113 | INFO | phipml.cli.train_test | No hyperparameter grid configured
2026-09-08 19:37:26,860 | INFO | phipml.classification.helpers | Mean ROC-AUC across folds: 0.912 ± 0.028
2026-09-08 19:37:26,861 | INFO | phipml.classification.helpers | Mean Average Precision (AP) across folds: 0.908 ± 0.030
2026-09-08 19:37:26,861 | INFO | phipml.classification.helpers | Out-of-fold classification metrics at threshold 0.50: accuracy=0.806, balanced_accuracy=0.806, precision=0.795, recall/sensitivity=0.825, specificity=0.787, F1=0.810, MCC=0.613
2026-09-08 19:37:26,861 | INFO | phipml.classification.helpers | Out-of-fold classification metrics confusion matrix: TN=63, FP=17, FN=14, TP=66
2026-09-08 19:37:26,861 | INFO | phipml.classification.helpers | Outer-fold classification variability: accuracy=0.806 ± 0.038, F1=0.809 ± 0.042, MCC=0.616 ± 0.080
2026-09-08 19:37:26,958 | INFO | phipml.cli.train_test | Saved /workspace/scratch/c93a153da023/phipml-tutorial-932f14f/results/random-forest/repeated_noisy/nested_random-forest_02_noisy_420.joblib
2026-09-08 19:37:26,958 | INFO | phipml.cli.train_test | Nested CV completed in 0.84 seconds
